actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2022-02-15 17:34:33+08
2,NICK,WAHLBERG,2022-02-15 17:34:33+08
3,ED,CHASE,2022-02-15 17:34:33+08
4,JENNIFER,DAVIS,2022-02-15 17:34:33+08
5,JOHNNY,LOLLOBRIGIDA,2022-02-15 17:34:33+08
6,BETTE,NICHOLSON,2022-02-15 17:34:33+08
7,GRACE,MOSTEL,2022-02-15 17:34:33+08
8,MATTHEW,JOHANSSON,2022-02-15 17:34:33+08
9,JOE,SWANK,2022-02-15 17:34:33+08
10,CHRISTIAN,GABLE,2022-02-15 17:34:33+08
11,ZERO,CAGE,2022-02-15 17:34:33+08
12,KARL,BERRY,2022-02-15 17:34:33+08
13,UMA,WOOD,2022-02-15 17:34:33+08
14,VIVIEN,BERGEN,2022-02-15 17:34:33+08
15,CUBA,OLIVIER,2022-02-15 17:34:33+08
16,FRED,COSTNER,2022-02-15 17:34:33+08
17,HELEN,VOIGHT,2022-02-15 17:34:33+08
18,DAN,TORN,2022-02-15 17:34:33+08
19,BOB,FAWCETT,2022-02-15 17:34:33+08
20,LUCILLE,TRACY,2022-02-15 17:34:33+08
21,KIRSTEN,PALTROW,2022-02-15 17:34:33+08
22,ELVIS,MARX,2022-02-15 17:34:33+08
23,SANDRA,KILMER,2022-02-15 17:34:33+08
24,CAMERON,STREEP,2022-02-15 17:34:33+08
25,KEVIN,BLOOM,2022-02-15 17:34:33+08
26,RIP,CRAWFORD,2022-02-15 17:34:33+08
27,JULIA,MCQUEEN,2022-02-15 17:34:33+08
28,WOODY,HOFFMAN,2022-02-15 17:34:33+08
29,ALEC,WAYNE,2022-02-15 17:34:33+08
30,SANDRA,PECK,2022-02-15 17:34:33+08
31,SISSY,SOBIESKI,2022-02-15 17:34:33+08
32,TIM,HACKMAN,2022-02-15 17:34:33+08
33,MILLA,PECK,2022-02-15 17:34:33+08
34,AUDREY,OLIVIER,2022-02-15 17:34:33+08
35,JUDY,DEAN,2022-02-15 17:34:33+08
36,BURT,DUKAKIS,2022-02-15 17:34:33+08
37,VAL,BOLGER,2022-02-15 17:34:33+08
38,TOM,MCKELLEN,2022-02-15 17:34:33+08
39,GOLDIE,BRODY,2022-02-15 17:34:33+08
40,JOHNNY,CAGE,2022-02-15 17:34:33+08
41,JODIE,DEGENERES,2022-02-15 17:34:33+08
42,TOM,MIRANDA,2022-02-15 17:34:33+08
43,KIRK,JOVOVICH,2022-02-15 17:34:33+08
44,NICK,STALLONE,2022-02-15 17:34:33+08
45,REESE,KILMER,2022-02-15 17:34:33+08
46,PARKER,GOLDBERG,2022-02-15 17:34:33+08
47,JULIA,BARRYMORE,2022-02-15 17:34:33+08
48,FRANCES,DAY-LEWIS,2022-02-15 17:34:33+08
49,ANNE,CRONYN,2022-02-15 17:34:33+08
50,NATALIE,HOPKINS,2022-02-15 17:34:33+08
51,GARY,PHOENIX,2022-02-15 17:34:33+08
52,CARMEN,HUNT,2022-02-15 17:34:33+08
53,MENA,TEMPLE,2022-02-15 17:34:33+08
54,PENELOPE,PINKETT,2022-02-15 17:34:33+08
55,FAY,KILMER,2022-02-15 17:34:33+08
56,DAN,HARRIS,2022-02-15 17:34:33+08
57,JUDE,CRUISE,2022-02-15 17:34:33+08
58,CHRISTIAN,AKROYD,2022-02-15 17:34:33+08
59,DUSTIN,TAUTOU,2022-02-15 17:34:33+08
60,HENRY,BERRY,2022-02-15 17:34:33+08
61,CHRISTIAN,NEESON,2022-02-15 17:34:33+08
62,JAYNE,NEESON,2022-02-15 17:34:33+08
63,CAMERON,WRAY,2022-02-15 17:34:33+08
64,RAY,JOHANSSON,2022-02-15 17:34:33+08
65,ANGELA,HUDSON,2022-02-15 17:34:33+08
66,MARY,TANDY,2022-02-15 17:34:33+08
67,JESSICA,BAILEY,2022-02-15 17:34:33+08
68,RIP,WINSLET,2022-02-15 17:34:33+08
69,KENNETH,PALTROW,2022-02-15 17:34:33+08
70,MICHELLE,MCCONAUGHEY,2022-02-15 17:34:33+08
71,ADAM,GRANT,2022-02-15 17:34:33+08
72,SEAN,WILLIAMS,2022-02-15 17:34:33+08
73,GARY,PENN,2022-02-15 17:34:33+08
74,MILLA,KEITEL,2022-02-15 17:34:33+08
75,BURT,POSEY,2022-02-15 17:34:33+08
76,ANGELINA,ASTAIRE,2022-02-15 17:34:33+08
77,CARY,MCCONAUGHEY,2022-02-15 17:34:33+08
78,GROUCHO,SINATRA,2022-02-15 17:34:33+08
79,MAE,HOFFMAN,2022-02-15 17:34:33+08
80,RALPH,CRUZ,2022-02-15 17:34:33+08
81,SCARLETT,DAMON,2022-02-15 17:34:33+08
82,WOODY,JOLIE,2022-02-15 17:34:33+08
83,BEN,WILLIS,2022-02-15 17:34:33+08
84,JAMES,PITT,2022-02-15 17:34:33+08
85,MINNIE,ZELLWEGER,2022-02-15 17:34:33+08
86,GREG,CHAPLIN,2022-02-15 17:34:33+08
87,SPENCER,PECK,2022-02-15 17:34:33+08
88,KENNETH,PESCI,2022-02-15 17:34:33+08
89,CHARLIZE,DENCH,2022-02-15 17:34:33+08
90,SEAN,GUINESS,2022-02-15 17:34:33+08
91,CHRISTOPHER,BERRY,2022-02-15 17:34:33+08
92,KIRSTEN,AKROYD,2022-02-15 17:34:33+08
93,ELLEN,PRESLEY,2022-02-15 17:34:33+08
94,KENNETH,TORN,2022-02-15 17:34:33+08
95,DARYL,WAHLBERG,2022-02-15 17:34:33+08
96,GENE,WILLIS,2022-02-15 17:34:33+08
97,MEG,HAWKE,2022-02-15 17:34:33+08
98,CHRIS,BRIDGES,2022-02-15 17:34:33+08
99,JIM,MOSTEL,2022-02-15 17:34:33+08
100,SPENCER,DEPP,2022-02-15 17:34:33+08
101,SUSAN,DAVIS,2022-02-15 17:34:33+08
102,WALTER,TORN,2022-02-15 17:34:33+08
103,MATTHEW,LEIGH,2022-02-15 17:34:33+08
104,PENELOPE,CRONYN,2022-02-15 17:34:33+08
105,SIDNEY,CROWE,2022-02-15 17:34:33+08
106,GROUCHO,DUNST,2022-02-15 17:34:33+08
107,GINA,DEGENERES,2022-02-15 17:34:33+08
108,WARREN,NOLTE,2022-02-15 17:34:33+08
109,SYLVESTER,DERN,2022-02-15 17:34:33+08
