category_id,name,last_update
1,Action,2022-02-15 17:46:27+08
2,Animation,2022-02-15 17:46:27+08
3,Children,2022-02-15 17:46:27+08
4,Classics,2022-02-15 17:46:27+08
5,Comedy,2022-02-15 17:46:27+08
6,Documentary,2022-02-15 17:46:27+08
7,Drama,2022-02-15 17:46:27+08
8,Family,2022-02-15 17:46:27+08
9,Foreign,2022-02-15 17:46:27+08
10,Games,2022-02-15 17:46:27+08
11,Horror,2022-02-15 17:46:27+08
12,Music,2022-02-15 17:46:27+08
13,New,2022-02-15 17:46:27+08
14,Sci-Fi,2022-02-15 17:46:27+08
15,Sports,2022-02-15 17:46:27+08
16,Travel,2022-02-15 17:46:27+08
