country_id,country,last_update
1,Afghanistan,2022-02-15 17:44:00+08
2,Algeria,2022-02-15 17:44:00+08
3,American Samoa,2022-02-15 17:44:00+08
4,Angola,2022-02-15 17:44:00+08
5,Anguilla,2022-02-15 17:44:00+08
6,Argentina,2022-02-15 17:44:00+08
7,Armenia,2022-02-15 17:44:00+08
8,Australia,2022-02-15 17:44:00+08
9,Austria,2022-02-15 17:44:00+08
10,Azerbaijan,2022-02-15 17:44:00+08
11,Bahrain,2022-02-15 17:44:00+08
12,Bangladesh,2022-02-15 17:44:00+08
13,Belarus,2022-02-15 17:44:00+08
14,Bolivia,2022-02-15 17:44:00+08
15,Brazil,2022-02-15 17:44:00+08
16,Brunei,2022-02-15 17:44:00+08
17,Bulgaria,2022-02-15 17:44:00+08
18,Cambodia,2022-02-15 17:44:00+08
19,Cameroon,2022-02-15 17:44:00+08
20,Canada,2022-02-15 17:44:00+08
21,Chad,2022-02-15 17:44:00+08
22,Chile,2022-02-15 17:44:00+08
23,China,2022-02-15 17:44:00+08
24,Colombia,2022-02-15 17:44:00+08
25,"Congo, The Democratic Republic of the",2022-02-15 17:44:00+08
26,Czech Republic,2022-02-15 17:44:00+08
27,Dominican Republic,2022-02-15 17:44:00+08
28,Ecuador,2022-02-15 17:44:00+08
29,Egypt,2022-02-15 17:44:00+08
30,Estonia,2022-02-15 17:44:00+08
31,Ethiopia,2022-02-15 17:44:00+08
32,Faroe Islands,2022-02-15 17:44:00+08
33,Finland,2022-02-15 17:44:00+08
34,France,2022-02-15 17:44:00+08
35,French Guiana,2022-02-15 17:44:00+08
36,French Polynesia,2022-02-15 17:44:00+08
37,Gambia,2022-02-15 17:44:00+08
38,Germany,2022-02-15 17:44:00+08
39,Greece,2022-02-15 17:44:00+08
40,Greenland,2022-02-15 17:44:00+08
41,Holy See (Vatican City State),2022-02-15 17:44:00+08
42,Hong Kong,2022-02-15 17:44:00+08
43,Hungary,2022-02-15 17:44:00+08
44,India,2022-02-15 17:44:00+08
45,Indonesia,2022-02-15 17:44:00+08
46,Iran,2022-02-15 17:44:00+08
47,Iraq,2022-02-15 17:44:00+08
48,Israel,2022-02-15 17:44:00+08
49,Italy,2022-02-15 17:44:00+08
50,Japan,2022-02-15 17:44:00+08
51,Kazakstan,2022-02-15 17:44:00+08
52,Kenya,2022-02-15 17:44:00+08
53,Kuwait,2022-02-15 17:44:00+08
54,Latvia,2022-02-15 17:44:00+08
55,Liechtenstein,2022-02-15 17:44:00+08
56,Lithuania,2022-02-15 17:44:00+08
57,Madagascar,2022-02-15 17:44:00+08
58,Malawi,2022-02-15 17:44:00+08
59,Malaysia,2022-02-15 17:44:00+08
60,Mexico,2022-02-15 17:44:00+08
61,Moldova,2022-02-15 17:44:00+08
62,Morocco,2022-02-15 17:44:00+08
63,Mozambique,2022-02-15 17:44:00+08
64,Myanmar,2022-02-15 17:44:00+08
65,Nauru,2022-02-15 17:44:00+08
66,Nepal,2022-02-15 17:44:00+08
67,Netherlands,2022-02-15 17:44:00+08
68,New Zealand,2022-02-15 17:44:00+08
69,Nigeria,2022-02-15 17:44:00+08
70,North Korea,2022-02-15 17:44:00+08
71,Oman,2022-02-15 17:44:00+08
72,Pakistan,2022-02-15 17:44:00+08
73,Paraguay,2022-02-15 17:44:00+08
74,Peru,2022-02-15 17:44:00+08
75,Philippines,2022-02-15 17:44:00+08
76,Poland,2022-02-15 17:44:00+08
77,Puerto Rico,2022-02-15 17:44:00+08
78,Romania,2022-02-15 17:44:00+08
79,Runion,2022-02-15 17:44:00+08
80,Russian Federation,2022-02-15 17:44:00+08
81,Saint Vincent and the Grenadines,2022-02-15 17:44:00+08
82,Saudi Arabia,2022-02-15 17:44:00+08
83,Senegal,2022-02-15 17:44:00+08
84,Slovakia,2022-02-15 17:44:00+08
85,South Africa,2022-02-15 17:44:00+08
86,South Korea,2022-02-15 17:44:00+08
87,Spain,2022-02-15 17:44:00+08
88,Sri Lanka,2022-02-15 17:44:00+08
89,Sudan,2022-02-15 17:44:00+08
90,Sweden,2022-02-15 17:44:00+08
91,Switzerland,2022-02-15 17:44:00+08
92,Taiwan,2022-02-15 17:44:00+08
93,Tanzania,2022-02-15 17:44:00+08
94,Thailand,2022-02-15 17:44:00+08
95,Tonga,2022-02-15 17:44:00+08
96,Tunisia,2022-02-15 17:44:00+08
97,Turkey,2022-02-15 17:44:00+08
98,Turkmenistan,2022-02-15 17:44:00+08
99,Tuvalu,2022-02-15 17:44:00+08
100,Ukraine,2022-02-15 17:44:00+08
101,United Arab Emirates,2022-02-15 17:44:00+08
102,United Kingdom,2022-02-15 17:44:00+08
103,United States,2022-02-15 17:44:00+08
104,Venezuela,2022-02-15 17:44:00+08
105,Vietnam,2022-02-15 17:44:00+08
106,"Virgin Islands, U.S.",2022-02-15 17:44:00+08
107,Yemen,2022-02-15 17:44:00+08
108,Yugoslavia,2022-02-15 17:44:00+08
109,Zambia,2022-02-15 17:44:00+08
