film_id,category_id,last_update
1,6,2022-02-15 18:07:09+08
2,11,2022-02-15 18:07:09+08
3,6,2022-02-15 18:07:09+08
4,11,2022-02-15 18:07:09+08
5,8,2022-02-15 18:07:09+08
6,9,2022-02-15 18:07:09+08
7,5,2022-02-15 18:07:09+08
8,11,2022-02-15 18:07:09+08
9,11,2022-02-15 18:07:09+08
10,15,2022-02-15 18:07:09+08
11,9,2022-02-15 18:07:09+08
12,12,2022-02-15 18:07:09+08
13,11,2022-02-15 18:07:09+08
14,4,2022-02-15 18:07:09+08
15,9,2022-02-15 18:07:09+08
16,9,2022-02-15 18:07:09+08
17,12,2022-02-15 18:07:09+08
18,2,2022-02-15 18:07:09+08
19,1,2022-02-15 18:07:09+08
20,12,2022-02-15 18:07:09+08
21,1,2022-02-15 18:07:09+08
22,13,2022-02-15 18:07:09+08
23,2,2022-02-15 18:07:09+08
24,11,2022-02-15 18:07:09+08
25,13,2022-02-15 18:07:09+08
26,14,2022-02-15 18:07:09+08
27,15,2022-02-15 18:07:09+08
28,5,2022-02-15 18:07:09+08
29,1,2022-02-15 18:07:09+08
30,11,2022-02-15 18:07:09+08
31,8,2022-02-15 18:07:09+08
32,13,2022-02-15 18:07:09+08
33,7,2022-02-15 18:07:09+08
34,11,2022-02-15 18:07:09+08
35,11,2022-02-15 18:07:09+08
36,2,2022-02-15 18:07:09+08
37,4,2022-02-15 18:07:09+08
38,1,2022-02-15 18:07:09+08
39,14,2022-02-15 18:07:09+08
40,6,2022-02-15 18:07:09+08
41,16,2022-02-15 18:07:09+08
42,15,2022-02-15 18:07:09+08
43,8,2022-02-15 18:07:09+08
44,14,2022-02-15 18:07:09+08
45,13,2022-02-15 18:07:09+08
46,10,2022-02-15 18:07:09+08
47,9,2022-02-15 18:07:09+08
48,3,2022-02-15 18:07:09+08
49,14,2022-02-15 18:07:09+08
50,8,2022-02-15 18:07:09+08
51,12,2022-02-15 18:07:09+08
52,9,2022-02-15 18:07:09+08
53,8,2022-02-15 18:07:09+08
54,12,2022-02-15 18:07:09+08
55,14,2022-02-15 18:07:09+08
56,1,2022-02-15 18:07:09+08
57,16,2022-02-15 18:07:09+08
58,6,2022-02-15 18:07:09+08
59,3,2022-02-15 18:07:09+08
60,4,2022-02-15 18:07:09+08
61,7,2022-02-15 18:07:09+08
62,6,2022-02-15 18:07:09+08
63,8,2022-02-15 18:07:09+08
64,7,2022-02-15 18:07:09+08
65,11,2022-02-15 18:07:09+08
66,3,2022-02-15 18:07:09+08
67,1,2022-02-15 18:07:09+08
68,3,2022-02-15 18:07:09+08
69,14,2022-02-15 18:07:09+08
70,2,2022-02-15 18:07:09+08
71,8,2022-02-15 18:07:09+08
72,6,2022-02-15 18:07:09+08
73,14,2022-02-15 18:07:09+08
74,12,2022-02-15 18:07:09+08
75,16,2022-02-15 18:07:09+08
76,12,2022-02-15 18:07:09+08
77,13,2022-02-15 18:07:09+08
78,2,2022-02-15 18:07:09+08
79,7,2022-02-15 18:07:09+08
80,8,2022-02-15 18:07:09+08
81,14,2022-02-15 18:07:09+08
82,8,2022-02-15 18:07:09+08
83,8,2022-02-15 18:07:09+08
84,16,2022-02-15 18:07:09+08
85,6,2022-02-15 18:07:09+08
86,12,2022-02-15 18:07:09+08
87,16,2022-02-15 18:07:09+08
88,16,2022-02-15 18:07:09+08
89,2,2022-02-15 18:07:09+08
90,13,2022-02-15 18:07:09+08
91,4,2022-02-15 18:07:09+08
92,11,2022-02-15 18:07:09+08
93,13,2022-02-15 18:07:09+08
94,8,2022-02-15 18:07:09+08
95,13,2022-02-15 18:07:09+08
96,13,2022-02-15 18:07:09+08
97,1,2022-02-15 18:07:09+08
98,7,2022-02-15 18:07:09+08
99,5,2022-02-15 18:07:09+08
100,9,2022-02-15 18:07:09+08
101,6,2022-02-15 18:07:09+08
102,15,2022-02-15 18:07:09+08
103,16,2022-02-15 18:07:09+08
104,9,2022-02-15 18:07:09+08
105,1,2022-02-15 18:07:09+08
106,10,2022-02-15 18:07:09+08
107,7,2022-02-15 18:07:09+08
108,13,2022-02-15 18:07:09+08
109,13,2022-02-15 18:07:09+08
110,3,2022-02-15 18:07:09+08
111,1,2022-02-15 18:07:09+08
112,9,2022-02-15 18:07:09+08
113,15,2022-02-15 18:07:09+08
114,14,2022-02-15 18:07:09+08
115,1,2022-02-15 18:07:09+08
116,4,2022-02-15 18:07:09+08
117,10,2022-02-15 18:07:09+08
118,2,2022-02-15 18:07:09+08
119,5,2022-02-15 18:07:09+08
120,15,2022-02-15 18:07:09+08
121,2,2022-02-15 18:07:09+08
122,11,2022-02-15 18:07:09+08
123,16,2022-02-15 18:07:09+08
124,3,2022-02-15 18:07:09+08
125,16,2022-02-15 18:07:09+08
126,1,2022-02-15 18:07:09+08
127,5,2022-02-15 18:07:09+08
128,9,2022-02-15 18:07:09+08
129,6,2022-02-15 18:07:09+08
130,1,2022-02-15 18:07:09+08
131,4,2022-02-15 18:07:09+08
132,14,2022-02-15 18:07:09+08
133,12,2022-02-15 18:07:09+08
134,2,2022-02-15 18:07:09+08
135,15,2022-02-15 18:07:09+08
136,13,2022-02-15 18:07:09+08
137,14,2022-02-15 18:07:09+08
138,14,2022-02-15 18:07:09+08
139,8,2022-02-15 18:07:09+08
140,14,2022-02-15 18:07:09+08
141,10,2022-02-15 18:07:09+08
142,6,2022-02-15 18:07:09+08
143,7,2022-02-15 18:07:09+08
144,13,2022-02-15 18:07:09+08
145,8,2022-02-15 18:07:09+08
146,7,2022-02-15 18:07:09+08
147,8,2022-02-15 18:07:09+08
148,9,2022-02-15 18:07:09+08
149,3,2022-02-15 18:07:09+08
150,6,2022-02-15 18:07:09+08
151,14,2022-02-15 18:07:09+08
152,3,2022-02-15 18:07:09+08
153,14,2022-02-15 18:07:09+08
154,2,2022-02-15 18:07:09+08
155,13,2022-02-15 18:07:09+08
156,6,2022-02-15 18:07:09+08
157,3,2022-02-15 18:07:09+08
158,12,2022-02-15 18:07:09+08
159,5,2022-02-15 18:07:09+08
160,2,2022-02-15 18:07:09+08
161,12,2022-02-15 18:07:09+08
162,1,2022-02-15 18:07:09+08
163,13,2022-02-15 18:07:09+08
164,6,2022-02-15 18:07:09+08
165,14,2022-02-15 18:07:09+08
166,4,2022-02-15 18:07:09+08
167,16,2022-02-15 18:07:09+08
168,3,2022-02-15 18:07:09+08
169,16,2022-02-15 18:07:09+08
170,9,2022-02-15 18:07:09+08
171,11,2022-02-15 18:07:09+08
172,7,2022-02-15 18:07:09+08
173,7,2022-02-15 18:07:09+08
174,12,2022-02-15 18:07:09+08
175,8,2022-02-15 18:07:09+08
176,15,2022-02-15 18:07:09+08
177,14,2022-02-15 18:07:09+08
178,5,2022-02-15 18:07:09+08
179,7,2022-02-15 18:07:09+08
180,4,2022-02-15 18:07:09+08
181,16,2022-02-15 18:07:09+08
182,5,2022-02-15 18:07:09+08
183,8,2022-02-15 18:07:09+08
184,4,2022-02-15 18:07:09+08
185,9,2022-02-15 18:07:09+08
186,7,2022-02-15 18:07:09+08
187,15,2022-02-15 18:07:09+08
188,5,2022-02-15 18:07:09+08
189,10,2022-02-15 18:07:09+08
190,4,2022-02-15 18:07:09+08
191,3,2022-02-15 18:07:09+08
192,9,2022-02-15 18:07:09+08
193,2,2022-02-15 18:07:09+08
194,1,2022-02-15 18:07:09+08
195,14,2022-02-15 18:07:09+08
196,4,2022-02-15 18:07:09+08
197,15,2022-02-15 18:07:09+08
198,9,2022-02-15 18:07:09+08
199,6,2022-02-15 18:07:09+08
200,10,2022-02-15 18:07:09+08
201,9,2022-02-15 18:07:09+08
202,5,2022-02-15 18:07:09+08
203,14,2022-02-15 18:07:09+08
204,7,2022-02-15 18:07:09+08
205,1,2022-02-15 18:07:09+08
206,6,2022-02-15 18:07:09+08
207,9,2022-02-15 18:07:09+08
208,2,2022-02-15 18:07:09+08
209,7,2022-02-15 18:07:09+08
210,1,2022-02-15 18:07:09+08
211,10,2022-02-15 18:07:09+08
212,1,2022-02-15 18:07:09+08
213,8,2022-02-15 18:07:09+08
214,3,2022-02-15 18:07:09+08
215,10,2022-02-15 18:07:09+08
216,13,2022-02-15 18:07:09+08
217,10,2022-02-15 18:07:09+08
218,7,2022-02-15 18:07:09+08
219,6,2022-02-15 18:07:09+08
220,12,2022-02-15 18:07:09+08
221,6,2022-02-15 18:07:09+08
222,11,2022-02-15 18:07:09+08
223,2,2022-02-15 18:07:09+08
224,16,2022-02-15 18:07:09+08
225,7,2022-02-15 18:07:09+08
226,13,2022-02-15 18:07:09+08
227,10,2022-02-15 18:07:09+08
228,4,2022-02-15 18:07:09+08
229,1,2022-02-15 18:07:09+08
230,7,2022-02-15 18:07:09+08
231,8,2022-02-15 18:07:09+08
232,10,2022-02-15 18:07:09+08
233,16,2022-02-15 18:07:09+08
