inventory_id,film_id,store_id,last_update
1,1,1,2022-02-15 18:09:17+08
2,1,1,2022-02-15 18:09:17+08
3,1,1,2022-02-15 18:09:17+08
4,1,1,2022-02-15 18:09:17+08
5,1,2,2022-02-15 18:09:17+08
6,1,2,2022-02-15 18:09:17+08
7,1,2,2022-02-15 18:09:17+08
8,1,2,2022-02-15 18:09:17+08
9,2,2,2022-02-15 18:09:17+08
10,2,2,2022-02-15 18:09:17+08
11,2,2,2022-02-15 18:09:17+08
12,3,2,2022-02-15 18:09:17+08
13,3,2,2022-02-15 18:09:17+08
14,3,2,2022-02-15 18:09:17+08
15,3,2,2022-02-15 18:09:17+08
16,4,1,2022-02-15 18:09:17+08
17,4,1,2022-02-15 18:09:17+08
18,4,1,2022-02-15 18:09:17+08
19,4,1,2022-02-15 18:09:17+08
20,4,2,2022-02-15 18:09:17+08
21,4,2,2022-02-15 18:09:17+08
22,4,2,2022-02-15 18:09:17+08
23,5,2,2022-02-15 18:09:17+08
24,5,2,2022-02-15 18:09:17+08
25,5,2,2022-02-15 18:09:17+08
26,6,1,2022-02-15 18:09:17+08
27,6,1,2022-02-15 18:09:17+08
28,6,1,2022-02-15 18:09:17+08
29,6,2,2022-02-15 18:09:17+08
30,6,2,2022-02-15 18:09:17+08
31,6,2,2022-02-15 18:09:17+08
32,7,1,2022-02-15 18:09:17+08
33,7,1,2022-02-15 18:09:17+08
34,7,2,2022-02-15 18:09:17+08
35,7,2,2022-02-15 18:09:17+08
36,7,2,2022-02-15 18:09:17+08
37,8,2,2022-02-15 18:09:17+08
38,8,2,2022-02-15 18:09:17+08
39,8,2,2022-02-15 18:09:17+08
40,8,2,2022-02-15 18:09:17+08
41,9,1,2022-02-15 18:09:17+08
42,9,1,2022-02-15 18:09:17+08
43,9,1,2022-02-15 18:09:17+08
44,9,2,2022-02-15 18:09:17+08
45,9,2,2022-02-15 18:09:17+08
46,10,1,2022-02-15 18:09:17+08
47,10,1,2022-02-15 18:09:17+08
48,10,1,2022-02-15 18:09:17+08
49,10,1,2022-02-15 18:09:17+08
50,10,2,2022-02-15 18:09:17+08
51,10,2,2022-02-15 18:09:17+08
52,10,2,2022-02-15 18:09:17+08
53,11,1,2022-02-15 18:09:17+08
54,11,1,2022-02-15 18:09:17+08
55,11,1,2022-02-15 18:09:17+08
56,11,1,2022-02-15 18:09:17+08
57,11,2,2022-02-15 18:09:17+08
58,11,2,2022-02-15 18:09:17+08
59,11,2,2022-02-15 18:09:17+08
60,12,1,2022-02-15 18:09:17+08
61,12,1,2022-02-15 18:09:17+08
62,12,1,2022-02-15 18:09:17+08
63,12,2,2022-02-15 18:09:17+08
64,12,2,2022-02-15 18:09:17+08
65,12,2,2022-02-15 18:09:17+08
66,12,2,2022-02-15 18:09:17+08
67,13,2,2022-02-15 18:09:17+08
68,13,2,2022-02-15 18:09:17+08
69,13,2,2022-02-15 18:09:17+08
70,13,2,2022-02-15 18:09:17+08
71,15,1,2022-02-15 18:09:17+08
72,15,1,2022-02-15 18:09:17+08
73,15,2,2022-02-15 18:09:17+08
74,15,2,2022-02-15 18:09:17+08
75,15,2,2022-02-15 18:09:17+08
76,15,2,2022-02-15 18:09:17+08
77,16,1,2022-02-15 18:09:17+08
78,16,1,2022-02-15 18:09:17+08
79,16,2,2022-02-15 18:09:17+08
80,16,2,2022-02-15 18:09:17+08
81,17,1,2022-02-15 18:09:17+08
82,17,1,2022-02-15 18:09:17+08
83,17,1,2022-02-15 18:09:17+08
84,17,2,2022-02-15 18:09:17+08
85,17,2,2022-02-15 18:09:17+08
86,17,2,2022-02-15 18:09:17+08
87,18,1,2022-02-15 18:09:17+08
88,18,1,2022-02-15 18:09:17+08
89,18,1,2022-02-15 18:09:17+08
90,18,2,2022-02-15 18:09:17+08
91,18,2,2022-02-15 18:09:17+08
92,18,2,2022-02-15 18:09:17+08
93,19,1,2022-02-15 18:09:17+08
94,19,1,2022-02-15 18:09:17+08
95,19,1,2022-02-15 18:09:17+08
96,19,1,2022-02-15 18:09:17+08
97,19,2,2022-02-15 18:09:17+08
98,19,2,2022-02-15 18:09:17+08
99,20,1,2022-02-15 18:09:17+08
100,20,1,2022-02-15 18:09:17+08
101,20,1,2022-02-15 18:09:17+08
102,21,1,2022-02-15 18:09:17+08
103,21,1,2022-02-15 18:09:17+08
104,21,2,2022-02-15 18:09:17+08
105,21,2,2022-02-15 18:09:17+08
106,21,2,2022-02-15 18:09:17+08
107,21,2,2022-02-15 18:09:17+08
108,22,1,2022-02-15 18:09:17+08
109,22,1,2022-02-15 18:09:17+08
110,22,1,2022-02-15 18:09:17+08
111,22,1,2022-02-15 18:09:17+08
112,22,2,2022-02-15 18:09:17+08
113,22,2,2022-02-15 18:09:17+08
114,22,2,2022-02-15 18:09:17+08
115,23,1,2022-02-15 18:09:17+08
116,23,1,2022-02-15 18:09:17+08
117,23,1,2022-02-15 18:09:17+08
118,23,2,2022-02-15 18:09:17+08
119,23,2,2022-02-15 18:09:17+08
120,24,1,2022-02-15 18:09:17+08
121,24,1,2022-02-15 18:09:17+08
122,24,1,2022-02-15 18:09:17+08
123,24,1,2022-02-15 18:09:17+08
124,25,1,2022-02-15 18:09:17+08
125,25,1,2022-02-15 18:09:17+08
126,25,1,2022-02-15 18:09:17+08
127,25,1,2022-02-15 18:09:17+08
128,25,2,2022-02-15 18:09:17+08
129,25,2,2022-02-15 18:09:17+08
130,26,1,2022-02-15 18:09:17+08
131,26,1,2022-02-15 18:09:17+08
132,26,2,2022-02-15 18:09:17+08
133,26,2,2022-02-15 18:09:17+08
134,26,2,2022-02-15 18:09:17+08
