rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
2,2022-05-25 05:54:33+08,1525,459,2022-05-29 02:40:33+08,1,2022-02-16 10:30:53+08
3,2022-05-25 06:03:39+08,1711,408,2022-06-02 05:12:39+08,1,2022-02-16 10:30:53+08
4,2022-05-25 06:04:41+08,2452,333,2022-06-03 08:43:41+08,2,2022-02-16 10:30:53+08
5,2022-05-25 06:05:21+08,2079,222,2022-06-02 11:33:21+08,1,2022-02-16 10:30:53+08
6,2022-05-25 06:08:07+08,2792,549,2022-05-27 08:32:07+08,1,2022-02-16 10:30:53+08
7,2022-05-25 06:11:53+08,3995,269,2022-05-30 03:34:53+08,2,2022-02-16 10:30:53+08
8,2022-05-25 06:31:46+08,2346,239,2022-05-28 06:33:46+08,2,2022-02-16 10:30:53+08
9,2022-05-25 07:00:40+08,2580,126,2022-05-28 07:22:40+08,1,2022-02-16 10:30:53+08
10,2022-05-25 07:02:21+08,1824,399,2022-06-01 05:44:21+08,2,2022-02-16 10:30:53+08
11,2022-05-25 07:09:02+08,4443,142,2022-06-03 03:56:02+08,2,2022-02-16 10:30:53+08
12,2022-05-25 07:19:27+08,1584,261,2022-05-30 12:44:27+08,2,2022-02-16 10:30:53+08
13,2022-05-25 07:22:55+08,2294,334,2022-05-30 11:28:55+08,1,2022-02-16 10:30:53+08
14,2022-05-25 07:31:15+08,2701,446,2022-05-26 09:56:15+08,1,2022-02-16 10:30:53+08
15,2022-05-25 07:39:22+08,3049,319,2022-06-03 10:30:22+08,1,2022-02-16 10:30:53+08
16,2022-05-25 07:43:11+08,389,316,2022-05-26 11:42:11+08,2,2022-02-16 10:30:53+08
17,2022-05-25 08:06:36+08,830,575,2022-05-27 07:43:36+08,1,2022-02-16 10:30:53+08
18,2022-05-25 08:10:47+08,3376,19,2022-05-31 13:35:47+08,2,2022-02-16 10:30:53+08
19,2022-05-25 08:17:24+08,1941,456,2022-05-31 13:00:24+08,1,2022-02-16 10:30:53+08
20,2022-05-25 08:48:41+08,3517,185,2022-05-27 09:20:41+08,2,2022-02-16 10:30:53+08
21,2022-05-25 08:59:46+08,146,388,2022-05-26 08:01:46+08,2,2022-02-16 10:30:53+08
22,2022-05-25 09:19:23+08,727,509,2022-05-26 11:52:23+08,2,2022-02-16 10:30:53+08
23,2022-05-25 09:40:21+08,4441,438,2022-05-29 13:34:21+08,1,2022-02-16 10:30:53+08
24,2022-05-25 09:53:02+08,3273,350,2022-05-27 08:15:02+08,1,2022-02-16 10:30:53+08
25,2022-05-25 10:21:20+08,3961,37,2022-05-28 04:25:20+08,2,2022-02-16 10:30:53+08
26,2022-05-25 10:36:50+08,4371,371,2022-05-31 07:34:50+08,1,2022-02-16 10:30:53+08
27,2022-05-25 10:41:50+08,1225,301,2022-05-30 08:13:50+08,2,2022-02-16 10:30:53+08
28,2022-05-25 10:42:37+08,4068,232,2022-05-26 16:26:37+08,2,2022-02-16 10:30:53+08
